figure_id,figure_title,source_document,caption_text,cited_in_section,required_panels,source_data_file,data_status,notes
Candidate-F03,Fast-firing grain-density trajectories,docs/PUBLICATION_STYLE_FIGURE_CAPTIONS_693168.md,"Fast-firing grain-density trajectories. Candidate 693168 is conditional Tier B, not validation.",fast_firing,dense_fast_firing_histories.csv,results/figure_source_data_package/fast_firing/clean_fast_firing_T_rho_G_time.csv,available,conditional Tier B; not calibrated; not validation
Candidate-F04,Fast-firing matched-density ratio,docs/PUBLICATION_STYLE_FIGURE_CAPTIONS_693168.md,"Fast-firing matched-density ratio. Candidate 693168 is conditional Tier B, not validation.",fast_firing,dense_fast_firing_histories.csv,results/figure_source_data_package/fast_firing/clean_fast_firing_T_rho_G_time.csv,available,conditional Tier B; not calibrated; not validation
Candidate-F05,Fast-firing heating-rate map,docs/PUBLICATION_STYLE_FIGURE_CAPTIONS_693168.md,"Fast-firing heating-rate map. Candidate 693168 is conditional Tier B, not validation.",fast_firing,fast_firing_heating_rate_map.csv,results/figure_source_data_package/fast_firing/clean_fast_firing_T_rho_G_time.csv,available,conditional Tier B; not calibrated; not validation
Candidate-F06,Two-step trajectory,docs/PUBLICATION_STYLE_FIGURE_CAPTIONS_693168.md,"Two-step trajectory. Candidate 693168 is conditional Tier B, not validation.",main,dense_time_histories.csv; dense_matched_density_curves.csv; T2_diagnostic_curves.csv,results/figure_source_data_package/candidate_693168/dense_time_histories.csv,available,conditional Tier B; not calibrated; not validation
Candidate-F07,Two-step physical-time histories,docs/PUBLICATION_STYLE_FIGURE_CAPTIONS_693168.md,"Two-step physical-time histories. Candidate 693168 is conditional Tier B, not validation.",two_step,dense_time_histories.csv,results/figure_source_data_package/candidate_693168/dense_time_histories.csv,available,conditional Tier B; not calibrated; not validation
Candidate-F08,Two-step G-rho,docs/PUBLICATION_STYLE_FIGURE_CAPTIONS_693168.md,"Two-step G-rho. Candidate 693168 is conditional Tier B, not validation.",two_step,dense_time_histories.csv,results/figure_source_data_package/candidate_693168/dense_time_histories.csv,available,conditional Tier B; not calibrated; not validation
Candidate-F09,Two-step reduction,docs/PUBLICATION_STYLE_FIGURE_CAPTIONS_693168.md,"Two-step reduction. Candidate 693168 is conditional Tier B, not validation.",two_step,dense_matched_density_curves.csv,results/figure_source_data_package/candidate_693168/dense_time_histories.csv,available,conditional Tier B; not calibrated; not validation
Candidate-F10,Final density and growth versus T2,docs/PUBLICATION_STYLE_FIGURE_CAPTIONS_693168.md,"Final density and growth versus T2. Candidate 693168 is conditional Tier B, not validation.",two_step,T2_diagnostic_curves.csv,results/figure_source_data_package/candidate_693168/dense_time_histories.csv,available,conditional Tier B; not calibrated; not validation
Candidate-F11,Two-step outcome triplet,docs/PUBLICATION_STYLE_FIGURE_CAPTIONS_693168.md,"Two-step outcome triplet. Candidate 693168 is conditional Tier B, not validation.",two_step,dense_time_histories.csv,results/figure_source_data_package/candidate_693168/dense_time_histories.csv,available,conditional Tier B; not calibrated; not validation
Candidate-F12,T1-T2 Chen map,docs/PUBLICATION_STYLE_FIGURE_CAPTIONS_693168.md,"T1-T2 Chen map. Candidate 693168 is conditional Tier B, not validation.",chen_map,chen_map_T1_T2_classification.csv,results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv,available,conditional Tier B; not calibrated; not validation
Candidate-F13,G1-T2 Chen map,docs/PUBLICATION_STYLE_FIGURE_CAPTIONS_693168.md,"G1-T2 Chen map. Candidate 693168 is conditional Tier B, not validation.",chen_map,chen_map_G1_T2_classification.csv,results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv,available,conditional Tier B; not calibrated; not validation
Candidate-F14,Switch-density Chen map,docs/PUBLICATION_STYLE_FIGURE_CAPTIONS_693168.md,"Switch-density Chen map. Candidate 693168 is conditional Tier B, not validation.",chen_map,chen_map_switch_density_T2_classification.csv,results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv,available,conditional Tier B; not calibrated; not validation
Candidate-F15,T2 diagnostic curves,docs/PUBLICATION_STYLE_FIGURE_CAPTIONS_693168.md,"T2 diagnostic curves. Candidate 693168 is conditional Tier B, not validation.",chen_map,T2_diagnostic_curves.csv,results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv,available,conditional Tier B; not calibrated; not validation
Candidate-F16,Complete filled Chen map,docs/PUBLICATION_STYLE_FIGURE_CAPTIONS_693168.md,"Complete filled Chen map. Candidate 693168 is conditional Tier B, not validation.",main,three classification tables; T2 diagnostics,results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv,available,conditional Tier B; not calibrated; not validation
Candidate-F17,Mechanism interpretation,docs/PUBLICATION_STYLE_FIGURE_CAPTIONS_693168.md,"Mechanism interpretation. Candidate 693168 is conditional Tier B, not validation.",main,dense histories; ablation audit,results/figure_source_data_package/candidate_693168/dense_time_histories.csv,available,conditional Tier B; not calibrated; not validation
Candidate-F18,Dense histories,docs/PUBLICATION_STYLE_FIGURE_CAPTIONS_693168.md,"Dense histories. Candidate 693168 is conditional Tier B, not validation.",supplement,dense_time_histories.csv,results/figure_source_data_package/candidate_693168/dense_time_histories.csv,available,conditional Tier B; not calibrated; not validation
Candidate-F19,Pore-store evolution,docs/PUBLICATION_STYLE_FIGURE_CAPTIONS_693168.md,"Pore-store evolution. Candidate 693168 is conditional Tier B, not validation.",supplement,dense_time_histories.csv,results/figure_source_data_package/candidate_693168/dense_time_histories.csv,available,conditional Tier B; not calibrated; not validation
Candidate-F20,Closed accommodation diagnostics,docs/PUBLICATION_STYLE_FIGURE_CAPTIONS_693168.md,"Closed accommodation diagnostics. Candidate 693168 is conditional Tier B, not validation.",supplement,dense_time_histories.csv,results/figure_source_data_package/candidate_693168/dense_time_histories.csv,available,conditional Tier B; not calibrated; not validation
Candidate-F21,PR/densification volume-equivalent partition,docs/PUBLICATION_STYLE_FIGURE_CAPTIONS_693168.md,"PR/densification volume-equivalent partition. Candidate 693168 is conditional Tier B, not validation.",supplement,dense_time_histories.csv,results/figure_source_data_package/candidate_693168/dense_time_histories.csv,available,conditional Tier B; not calibrated; not validation
Candidate-F22,Ablation matrix,docs/PUBLICATION_STYLE_FIGURE_CAPTIONS_693168.md,"Ablation matrix. Candidate 693168 is conditional Tier B, not validation.",supplement,candidate_693168_ablation_audit.csv,results/figure_source_data_package/candidate_693168/dense_time_histories.csv,available,conditional Tier B; not calibrated; not validation
Candidate-F23,Six Tier-B candidates,docs/PUBLICATION_STYLE_FIGURE_CAPTIONS_693168.md,"Six Tier-B candidates. Candidate 693168 is conditional Tier B, not validation.",supplement,six_tierB_candidate_comparison.csv,results/figure_source_data_package/candidate_693168/dense_time_histories.csv,available,conditional Tier B; not calibrated; not validation
Candidate-F24,Initial-condition robustness,docs/PUBLICATION_STYLE_FIGURE_CAPTIONS_693168.md,"Initial-condition robustness. Candidate 693168 is conditional Tier B, not validation.",supplement,candidate_693168_extended_robustness.csv,results/figure_source_data_package/candidate_693168/dense_time_histories.csv,available,conditional Tier B; not calibrated; not validation
Candidate-F25,Candidate dashboard,docs/PUBLICATION_STYLE_FIGURE_CAPTIONS_693168.md,"Candidate dashboard. Candidate 693168 is conditional Tier B, not validation.",main,all presentation source tables,results/figure_source_data_package/candidate_693168/dense_time_histories.csv,available,conditional Tier B; not calibrated; not validation
